title,price
Vivo Y66 | 100% Inspected Fresh Stock | 4GB RAM 64GB ROM(3/32 for user) | 13MP Camera | Dual Sim Approved | With Box & Charger | Premium Quality | Vivo Mobile Phone | Globally Customized,"Rs. 8,549"
Infinix Smart 10 4GB+64GB - PTA APPROVED,"Rs. 29,698"
water proof mobile phone cover,Rs. 435
Google Pixel 8 Pro | 12GB RAM | 256GB & 128GB storage | dual sim approved | 5050 mAh battery | OLED display | 2023 model new phone without box | Al-Aswad Tech,"Rs. 119,999"
Nothing Phone 2A 12/256GB - PTA Approved - 1 Year Warranty - Nothing Phone,"Rs. 118,699"
"Vivo Y66 | Dual Sim | PTA Approve | 4GB Ram 64GB Storage | Long Lasting 3000 MAH Battery | Memory Card Suppirt | Vivo Box , Charger Sim Injector Tool & Phone | Vivo Mobile | Mobile Phone On Easy Installment | Whatsapp , Youtube Facebook & Tiktok Working","Rs. 8,812"
Nothing Phone 3A 12/256GB - PTA Approved- Free CMF Buds 2 Nothing Phone,"Rs. 157,999"
Nothing Phone 3A Lite 8GB/256GB - PTA Approved - Nothing Phone,"Rs. 103,399"
Vivo Y19s | 6GB+128GB | 90Hz Screen | 5500mAh Long Battery | Android 14 | PTA Approved,"Rs. 23,799"
"Product details of Waterproof  Case Underwater PVC Bag Transparent Touch Screen Premium Cell Phone Pouch Cover For Travel
Protect your  from dust
scratching and shock
Protect your valuable investment from scratch and",Rs. 270
Samsung Galaxy Z Fold 3 12GB RAM 256 GB ROM || FOLDABLE MOBILE PHONE || ONE YEAR BRAND WARRANTY,"Rs. 300,000"
Oppo A6s Smart Phone,"Rs. 76,499"
"Vivo Y20s | 8GB Ram 128GB Storage | 5000 MAH Battery + 18w Fast Charging | PTA Approve | Side FingerPrint | 6.51"" HD+ Halo Big Display | 13MP AI Triple Camera | Phone, Box, Charger | Mobile Phone On Installment","Rs. 19,475"
Google Pixel 6a | 6GB ram | 128GB storage | dual sim approved | 4410mAh battery | original phone without box,"Rs. 50,999"
Infinix Note 60 Pro - 8Gb Ram / 256Gb Storage -With Wireless MagSafe PowerBank - Official PTA Approved With 1 Year Official Brand Warranty,"Rs. 122,999"
Nothing Phone CMF Phone 2 Pro 8/128GB - PTA Approved - Nothing Phone,"Rs. 97,499"
Vivo Y19s - 6.74 Inches IPS LCD Display - 8+1GB RAM - 256GB Storage (128GB Usable + 128GB System Reserved) - Official PTA Approved - Fingerprint Sensor - (Phone and Universal Box. No Charger and No Accessories Included - Mix Color),"Rs. 25,999"
Vivo Y17 PTA Approved Original Mobile Phone | 8GB RAM 256GB ROM | 5000mAh Battery | Dual SIM | Fingerprint | Android Smartphone | Global Variant | Like New | Box Charger Handsfree Included | Installment Available | Best Budget Phone in Pakistan,"Rs. 16,829"
Vivo Y19s | 12GB+256GB | 90Hz Screen | 5500mAh Long Battery | Android 14 | PTA Approved,"Rs. 27,900"
"Honor X9D (5G) 12GB RAM 256GB ROM, 108MP Main Camera, 8300 mAh Battery with One Year Brand Warranty","Rs. 118,000"
"Schok Volt SV55 2GB RAM 16GB ROM - 5.5"" Display Budget Slightly Used Android Phone Best for WiFi and Gaming ONLY MOBILE PHONE","Rs. 6,174"
"Original G Five Dhoom | 3000mAh Battery Phone | 2.4"" Screen | Wireless FM | LED Torch | Auto Call Record | PTA Approved","Rs. 3,199"
"Vivo Y20s | 8GB Ram 128GB Storage | 5000 MAH Battery + 18w Fast Charging | PTA Approve | Side FingerPrint | 6.51"" HD+ Halo Big Display | 13MP AI Triple Camera | Phone, Box, Charger | Mobile Phone On Installment","Rs. 20,350"
American Schok Volt SV55 Mobile Phone | No Sims(WiFi Only) | Android 11 | Free Compatible Charger | Snapdragon 425 | Best Economical Smart Mobile Phone | Mobile Phones Low Price | Globally Customized,"Rs. 6,375"
Nothing Phone 3A RAM 12 GB ROM 256 Front Camera 32 MP Back Camera 50MP+8MP+50MP Battery 5000mAH One Year Brand Warranty,"Rs. 155,999"
Motorola Mobile Phone Moto G Play 2024 - Tot 8GB RAM(4+4) - No Sims(WiFi Device) - Free Accessories - Android 14 - Snapdragon 680 - PubG Around 60 Fps - 50MP Camera - 5000mAh Battery - 90Hz Display - Motorola Mobile Phones Low,"Rs. 17,849"
Vivo Y19s - 6.74 Inches IPS LCD Display - 8+1GB RAM - 256GB Storage - Official PTA Approved - Fingerprint Sensor - (Phone and Universal Box. No Charger and No Accessories Included - Mix Color),"Rs. 29,999"
"Vivo V15 - 6.53 Inches Full HD+ Display - Dual Sim Official PTA Approved - 8GB RAM - 256GB ROM - Motorize Popup Front 32MP Camera - Dual Engine Fast Charging (Phone with Imported Box, Charger) - Mix Color","Rs. 23,999"
Nothing Phone 3A Pro With Watch Pro RAM 12 ROM 256 Front Camera 50MP Back Camera 50MP+50MP+8MP Battery 5000mAh One Year Brand Warranty,"Rs. 187,500"
"Redmi A7 Pro - 4GB RAM 128GB ROM | 6.9"" Massive 120Hz Display | 6000mAh Mega Battery | 32MP Dual Camera | 100% Original Box Packed","Rs. 37,998"
Sharp Aquos R7 - 6.6 QHD+ Display - Dual Sim Physical + E-Sim - 12GB RAM - 256GB ROM +SD Card Supported - Snapdragon 8 Gen 1 Processor - In-Screen Fingerprint (Phone Only - Box Charger Accessoires Not Included - Official PTA Approved),"Rs. 64,999"
Moto G Stylus 2022 128GB Storage 4GB RAM Mediatek Helio G88 5000 mAh Battery 50MP Camera Mobile Phone,"Rs. 44,999"
"Google Pixel 7A – 6.1"" QHD+ Display, 128GB, 8GB RAM, Dual Sim (Physical + E-SIM) Official PTA Approved - Imported, Phone Only (100% Original - Mix Color)","Rs. 74,999"
Nothing Phone 3A Pro 12/256GB - PTA Approved - Free CMF Watch Pro - Nothing Phone,"Rs. 188,399"
Tecno Spark 40 Pro – 8GB RAM + 256GB ROM | 50MP Camera | 6.78” AMOLED 144Hz Display | Helio G100 | 5200mAh 45W Fast Charging | Android 15,"Rs. 79,999"
Motorola One Ace 5G 4/64GB | Single Sim | Mobile Phone,"Rs. 33,999"
Nothing Phone 2A With CMF Buds RAM 12 GB ROM 256 GB Front Camera 32 MP Back Camera 50 MP+50 MP Battery 5000 mAh One Year Brand Warranty,"Rs. 122,999"
Vivo Y17 Phone | 4GB RAM 128GB Storage | 5000 MAH Battery | Dual Sim | 6 Inch Big Notch Display | FingerPrint Sensor | Fast Charging Option | PTA Approve × Memory Card Support | Box Charger & Phone | Mobile Phone On Installment,"Rs. 15,778"
"Samsung Galaxy A07 With 25W Charger – 6GB RAM + 128GB Storage | 50MP Dual Camera | 6.7” 90Hz Display | Helio G99 (6nm) | 5000mAh Battery 25W Fast Charging | Android 15 (OneUI 7, 6 Years Updates)","Rs. 53,499"
"(Official PTA Approve) VivoY81 - 6.22"" HD Display - Dual Sim - 6GB RAM - 128GB ROM - Android Oreo - PTA Approved - Phone And Box Charger Only (, No Accessories Included)","Rs. 12,999"
