title,price,img
"Govee RGBIC Floor Lamp Basic, 1000lm LED Corner Lamp Compatible with SmartThings, Alexa, and Matter, Modern Floor Lamp with Music Sync and 16 Million DIY Colors, Standing Lamp for Bedroom Living Room","$69
99",https://m.media-amazon.com/images/I/61SdRNLwZzL._AC_UL320_.jpg
"Lutron Pico Remote for Caseta Smart Dimmer Switch, 3-Button Control with Raise/Lower and Preset Lighting Level, For Table Top or Wallmount Use, PJ2-3BRL-WH-L01R, White","$24
95",https://m.media-amazon.com/images/I/51zNdEaqsiL._AC_UL320_.jpg
"Lutron Caseta Plug-In Smart Lamp Dimmer Switch Kit with Pico Remote (Lutron Hub Required), Smart Light Switch Dimmer for Floor & Table Lamps, LED Lights, P-PKG1P-WH, White","$54
95",https://m.media-amazon.com/images/I/51QKYtJ4ECL._AC_UL320_.jpg
"Geeni Prisma Plus Smart Light Bulb, 800 Dimmable Color-Changing LED, Tunable White, Works with Alexa & Google Home, Wi-Fi Control, App-Enabled A19 Smart Bulb, Energy Efficient, 1-Pack","$10
79",https://m.media-amazon.com/images/I/71qDs06NIyL._AC_UL320_.jpg
"Lutron Caseta Deluxe Smart Dimmer Switch Kit, 2 Dimmer Switches, 2 Wall Plates, 2 Pico Remotes, and Smart Hub, No Neutral Required, Works with Alexa, Apple Home, Ring, & Google Home, P-BDG-PKG2W-A","$189
90",https://m.media-amazon.com/images/I/51swqnRssZL._AC_UL320_.jpg
"SYLVANIA Wifi LED Smart Light Bulb, A19, 60W, Soft White, Compatible with Alexa and Google Home Only - 4 Pack (75672)","$16
99",https://m.media-amazon.com/images/I/61h++Y0T3fL._AC_UL320_.jpg
"FIBARO The Button Z-Wave Plus Scene Controller On-Off Trigger, FGPB-101-6, Blue",No Price,https://m.media-amazon.com/images/I/51H106sXzKL._AC_UL320_.jpg
"LIFX Color, E26 Edison Screw","$19
99",https://m.media-amazon.com/images/I/61fEpBkrUmL._AC_UL320_.jpg
"Feit Electric OM60/RGBW/CA/AG Smart WiFi Color Changing and Dimmable, Alexa or Google Assistant, No Hub Required A19 LED Light Bulb, 60W",No Price,https://m.media-amazon.com/images/I/41RJp3uCooL._AC_UL320_.jpg
"Amazon Basics Smart Dimmer Switch, 3-Way, Works with Alexa Only, Voice Control, Wi-Fi Light Switch, Schedule, 2.4 GHz Wi-Fi, No Hub Required, White",No Price,https://m.media-amazon.com/images/I/711bVtGfjdL._AC_UL320_.jpg
"Govee Smart Light Bulbs, Color Changing Light Bulb, Work with Alexa and Google Assistant, 16 Million Colors RGBWW, WiFi & Bluetooth LED Light Bulbs, Music Sync, A19, 800 Lumens, 4 Pack","$39
99",https://m.media-amazon.com/images/I/61m82Uwqt6L._AC_UL320_.jpg
"Nexillumi LED Lights for TV, 13.2ft TV LED Backlight for 32-65 Inch, RGB LED Strip Lights Behind TV, APP Remote Control Music Sync TV Led Lights for Bedroom","$9
99",https://m.media-amazon.com/images/I/81HQYIWyCuL._AC_UL320_.jpg
