title,price,img,rate
"Govee Smart Light Bulbs, Color Changing Light Bulb, Work with Alexa and Google Assistant, 16 Million Colors RGBWW, WiFi & Bluetooth LED Light Bulbs, Music Sync, A19, 800 Lumens, 4 Pack",$24.99$24.99,./Amazon_files/61G5-oBZmzL._AC_UL320_.jpg,4.64.6 out of 5 stars (26.4K)  
"Lutron Pico Remote for Caseta Smart Dimmer Switch, 3-Button Control with Raise/Lower and Preset Lighting Level, For Table Top or Wallmount Use, PJ2-3BRL-WH-L01R, White",$24.95$24.95,./Amazon_files/51zNdEaqsiL._AC_UL320_.jpg,4.84.8 out of 5 stars (2.5K)  
"Kasa Smart Light Switch HS200, Single Pole, Needs Neutral Wire, 2.4GHz Wi-Fi Light Switch Works with Google Home, UL Certified, No Hub Required, White",$11.99$11.99,./Amazon_files/611JGGx4DPL._AC_UL320_.jpg,4.64.6 out of 5 stars (43.4K)  
"Govee RGBIC Floor Lamp Basic, 1000lm LED Corner Lamp Compatible with SmartThings, Alexa, and Matter, Modern Floor Lamp with Music Sync and 16 Million DIY Colors, Standing Lamp for Bedroom Living Room",$59.99$59.99,./Amazon_files/61SdRNLwZzL._AC_UL320_.jpg,4.54.5 out of 5 stars (11K)  
"Lutron Caseta Deluxe Smart Dimmer Switch Kit, 2 Dimmer Switches, 2 Wall Plates, 2 Pico Remotes, and Smart Hub, No Neutral Required, Works with Alexa, Apple Home, Ring, & Google Home, P-BDG-PKG2W-A",$151.90$151.90,./Amazon_files/51swqnRssZL._AC_UL320_.jpg,4.74.7 out of 5 stars (2.5K)  
"Lutron Caseta Plug-In Smart Lamp Dimmer Switch Kit with Pico Remote (Lutron Hub Required), Smart Light Switch Dimmer for Floor & Table Lamps, LED Lights, P-PKG1P-WH, White",$54.95$54.95,./Amazon_files/51QKYtJ4ECL._AC_UL320_.jpg,4.74.7 out of 5 stars (1.7K)  
"A15 Smart Bulb, E26 WiFi LED Light Bulbs, 5W 40W Equivalent, RGB Color Changing Dimmable, Compatible with Alexa Google, 2.4GHz WiFi Only, No Hub Required, for Ceiling Fan Lamp Vanity, 1 Pack",$9.99$9.99,./Amazon_files/61F2ZWv5XsL._AC_UL320_.jpg,4.14.1 out of 5 stars (779)  
"FIBARO The Button Z-Wave Plus Scene Controller On-Off Trigger, FGPB-101-6, Blue",No Price,./Amazon_files/51H106sXzKL._AC_UL320_.jpg,3.33.3 out of 5 stars (104)  
"Philips Hue Bridge, Unlock the Full Potential of Hue Bridge System, Multi-Room and Out-of-Home Control, Create Automations and Zones, Smart Lighting Hub, Works with Voice and Matter-Compatible",No Price,./Amazon_files/61Uh-VU8muL._AC_UL320_.jpg,4.54.5 out of 5 stars (11.3K)  
"Alexa Light Switch, Double Smart WiFi Light Switches, Smart Switch 2 Gang Compatible with Alexa and Google Home, Neutral Wire Needed, with Remote Control, Timing Schedule, No hub Required (2Pack)",$26.99$26.99,./Amazon_files/51pHWvNTlFL._AC_UL320_.jpg,4.04.0 out of 5 stars (1.8K)  
"Kasa Smart Light Switch HS200P3, Single Pole, Needs Neutral Wire, 2.4GHz Wi-Fi Light Switch Compatible with Alexa and Google Home, UL Certified, No Hub Required, 3 Count -Pack of 1 , White",No Price,./Amazon_files/61Du7b9kpxL._AC_UL320_.jpg,4.64.6 out of 5 stars (26.9K)  
"Govee Smart Light Bulbs, WiFi & Bluetooth Color Changing Light Bulbs, Music Sync, 16 Million DIY Colors RGBWW Color Lights Bulb, Work with Alexa, Google Assistant Home App, 800 Lumen, 2 Pack",No Price,./Amazon_files/61xhRLouFTL._AC_UL320_.jpg,4.64.6 out of 5 stars (26.4K)  
