,Actual,R_Predicted,DTR_Predicted,RFR_Predict,XGBR_Predict
0,3100000,1611569.7281581706,2100000.0,1968639.99,2.0674924e+06
1,779000,765605.5153212993,779000.0,779000.0,775058.4
2,550000,689170.3963598256,550000.0,600748.9285714286,630000.2
3,525000,666401.3140565441,650000.0,553469.98,580175.2
4,450000,626422.5319169662,450000.0,446750.0,438456.1
5,800000,611669.3565953615,720000.0,711493.3333333333,650118.5
6,700000,593836.6973420746,1000000.0,709869.95,577062.44
7,370000,394698.50566821,360000.0,369617.5275476191,413806.6
8,5500000,4257133.001588685,5500000.0,5500000.0,5.494123e+06
9,740000,754924.7812221519,740000.0,740000.0,734581.3
10,1100000,1000646.795222214,1250000.0,1049349.91,1.0095107e+06
11,325000,478508.2224509766,325000.0,323204.99,374806.5
12,490000,545937.5410617504,530000.0,489487.47,539266.75
13,55000,-643447.3105587532,45000.0,45409.96,57231.996
14,711000,742770.3041735314,675000.0,641920.0,672568.9
15,89000,-84527.447876096,65000.0,80833.51,104387.08
16,400000,643813.9073901153,270000.0,342581.26,380667.1
17,140000,-124241.35171307623,100000.0,96879.32,81786.87
18,220000,127858.49900259741,180000.0,187189.98,181003.72
19,1789999,1461062.5989795795,1850000.0,1750739.96,1.6861474e+06
20,300000,355112.1704895295,295000.0,284057.46,285683.66
21,600000,468955.3197646887,585000.0,571936.6566666666,607576.25
22,850000,794994.2737918256,830000.0,859583.3133333335,837598.4
23,800000,792108.4371019449,950000.0,880229.1328571428,895690.44
24,600000,495348.1576256632,550000.0,562750.0,551503.94
25,520000,470512.09848338296,550000.0,500519.99999999994,453409.3
26,445000,459078.37733003916,450000.0,421105.42,424790.6
27,515000,685596.4986136397,515000.0,573860.0,679102.0
28,450000,620391.0096997648,450000.0,450000.0,473082.16
29,1200000,933098.1346121756,1300000.0,1081670.0,1.1035488e+06
30,160000,204468.07105802262,320000.0,237409.99,223629.14
31,40000,-510315.39827548957,40000.0,47260.0,51631.91
32,495000,837664.4162888192,495000.0,587150.0,487607.72
33,730000,614764.5482751164,730000.0,696580.0,694635.0
34,730000,795878.1108280153,700000.0,759809.91,729165.44
35,950000,789604.5683697758,950000.0,931163.3333333333,893539.7
36,340000,307616.84363305866,250000.0,267350.0,272656.62
37,225000,317728.9027844309,225000.0,225000.0,231521.81
38,179000,163049.18823587318,150000.0,167590.0,189524.62
39,757000,742151.9657129168,675000.0,704900.0,740064.8
40,1700000,1407649.132559658,1500000.0,1603400.0,1.641931e+06
41,351000,635508.3711434825,409999.0,449279.73,453306.4
42,560000,369132.8435883549,500000.0,435028.32333333336,476768.22
43,484999,704762.204781879,500000.0,508886.6466666667,588685.5
44,675000,805969.245968164,650000.0,668049.99,686108.94
45,580000,667045.8531133261,442499.5,454591.23499999987,488857.4
46,420000,455992.73223760456,370000.0,390915.0,432566.06
47,250000,197464.29990254523,229999.0,235414.27799999996,231602.05
48,1000000,979332.8675643759,1000000.0,1061956.6533333333,1.1281051e+06
49,475000,571221.6798634868,475000.0,461927.5514285714,440828.7
50,550000,510847.36483734986,550000.0,550000.0,542499.06
51,250000,447528.36540118756,360000.0,375869.95,330524.34
52,320000,315838.85244887474,225000.0,271879.99,337408.2
53,750000,611648.6938362963,797000.0,764460.0,717081.9
54,440000,629990.1496885354,600000.0,554339.67,555645.3
55,795000,732182.096750982,795000.0,744249.99,581537.4
56,800000,599148.4234580892,695000.0,719389.75,789718.1
57,220000,336850.93100125116,360000.0,296438.3333333333,262535.8
58,250000,242837.88031174982,250000.0,234749.95,287361.25
59,340000,314816.81358404504,340000.0,296594.95,290596.03
60,620000,662620.4729014401,795000.0,771150.0,727264.56
61,425000,510819.08063689806,490000.0,476008.33333333326,471406.75
62,509999,560555.4367016037,530000.0,493456.36666666664,489698.88
63,45000,-283892.1575317937,42000.0,45455.94,62359.156
64,141000,152381.72943593463,150000.0,137600.0,156034.89
65,325000,454475.20280138956,225000.0,299389.96,326998.16
66,540000,617241.7183319131,610000.0,627146.6666666666,596488.8
67,819999,894006.6747553954,800000.0,855900.0,854400.2
68,150000,22986.122403464047,150000.0,138000.0,119559.016
69,810000,673255.9248488734,869999.0,725258.858888889,699374.0
70,325000,238280.49327527365,250000.0,294434.98,290049.22
71,650000,685250.6527413529,630000.0,620625.0,603678.94
72,65000,-159324.33271960157,90000.0,79215.18,62866.348
73,850000,872638.8086519941,1140000.0,1060862.47,997917.7
74,300000,370571.39750726725,300000.0,301835.0,303155.1
75,300000,554542.238644291,240000.0,244829.82,251657.8
76,480000,659324.0107365128,480000.0,491500.0,476758.12
77,60000,-562599.9746004053,29999.0,59029.84,50385.535
78,1200000,1193456.1028446476,1550000.0,1473390.0,1.4935742e+06
79,325000,648883.3868593952,476999.0,463449.77,508680.84
80,190000,343980.8379047855,190000.0,173729.96,199355.62
81,550000,650918.5859493916,488999.0,522939.36,583582.06
82,254999,125839.61475871434,250000.0,222523.18333333332,212614.02
83,425000,474240.42317049205,375000.0,401949.98,382894.12
84,5800000,4249828.819294866,5500000.0,5184430.0,5.0442755e+06
85,170000,197335.24284258863,270000.0,231716.6666666667,168109.52
86,170000,73457.0802077303,210000.0,195559.99,139399.02
87,740000,754924.7812221519,740000.0,740000.0,734581.3
88,950000,594405.6976413016,450000.0,495169.99,511390.3
89,800000,931533.2938488254,850000.0,905519.97,879595.8
90,250000,237282.92606998998,200000.0,227359.98,233297.38
91,279000,279608.95175067417,300000.0,294940.0,279412.34
92,695000,668718.685937132,550000.0,568799.91,571286.9
93,525000,460456.8676226585,600000.0,631029.93,699355.7
94,890000,599962.0021661856,750000.0,733149.97,710631.75
95,725000,2033967.921001078,1350000.0,804400.0,623188.44
96,400000,315295.72619869886,400000.0,397000.0,354051.1
97,140000,144388.59040665388,250000.0,239636.63666666663,217436.8
98,2000000,2158117.17691675,1200000.0,1761926.616666667,1.6992899e+06
99,650000,625478.3773655117,780000.0,731333.3333333335,710715.94
100,425000,462904.7322894739,351000.0,402079.99,356255.5
101,245000,295122.25077226415,257500.0,255235.82333333333,260513.86
102,330000,374108.14974803646,450000.0,421323.0633333333,406739.44
103,210000,258473.24806516856,240000.0,218829.95,253314.58
104,550000,510847.36483734986,550000.0,550000.0,542499.06
105,750000,844473.0241722548,650000.0,678262.4999999999,738647.4
106,5150000,5149555.295970734,5150000.0,5150000.0,5.150506e+06
107,1250000,724200.6590201635,1300000.0,1149900.0,1.0512562e+06
108,2000000,1412183.4545129118,2000000.0,2000000.0,1.9966596e+06
109,400000,567223.3769369923,425000.0,392932.38095238095,382204.4
110,217000,276642.89689148875,217000.0,243863.32333333336,267580.03
111,5400000,4257717.336172191,5414814.814814814,5413569.948435293,5.4220155e+06
112,450000,463672.7529806929,388000.0,418860.8,424650.75
113,1295000,1164481.0190833376,1051000.0,1341589.98,1.380574e+06
114,229999,384803.92526067165,200000.0,263870.0,257235.38
115,755000,795542.4837661214,730000.0,774849.99,715145.56
116,140000,-2223.22753269691,160000.0,166217.5,155759.0
117,190000,175672.2665847059,265000.0,224030.0,180109.9
118,770000,740983.2965459058,675000.0,701390.0,740064.8
119,725000,724723.6268996563,600000.0,595049.92,611928.75
120,160000,103567.51265092485,185000.0,194564.64,209164.61
121,229999,214888.45801405766,229999.0,220949.44,192980.72
122,910000,825645.8551291806,910000.0,883150.0,879352.25
123,675000,536460.4151294535,720000.0,698499.93,647547.7
124,450000,675511.166665074,466000.0,507041.6083333333,467438.94
125,210000,147082.45835238334,250000.0,229089.93,201202.53
126,1250000,1960521.987868465,1450000.0,1187093.3233333332,1.03436856e+06
127,1000000,1059546.1543670422,1000000.0,1020960.0,986313.8
128,170000,89656.04534826148,170000.0,182153.2142857143,175445.67
129,221000,369714.0022204618,221000.0,247039.99,234838.1
130,280000,362276.52093586215,280000.0,284930.0,301187.44
131,650000,535036.602580189,600000.0,605099.98,592593.44
132,650000,694445.0223762322,650000.0,662390.0,686929.5
133,700000,598629.9017553617,700000.0,685437.9761904761,669381.5
134,480000,575065.379793318,660000.0,613195.7333333334,552738.9
135,375000,485261.77249268023,487500.0,506962.42,581870.94
136,225000,274503.0091622115,225000.0,234556.6666666667,211303.62
137,1050000,520977.01532582886,430000.0,409969.9,450013.28
138,215000,224591.77107404458,260000.0,207528.85095238098,205427.6
139,300000,-408613.4686806941,100000.0,183739.99,125858.36
140,720000,680405.3776072427,567500.0,577374.86,590214.44
141,626000,609555.4383755876,626000.0,528560.0,447637.4
142,650000,754355.7365168523,700000.0,663150.0,629219.6
143,700000,636330.3572856202,620000.0,573269.97,682034.06
144,500000,590290.9218218856,450000.0,466479.97799999994,509318.47
145,650000,621844.9893311844,650000.0,606630.0,566655.6
146,725000,742714.3753396359,360000.0,634376.6566666666,736493.3
147,434999,498785.4611000858,715000.0,572073.3333333333,530056.1
148,100000,-140270.25012708723,130000.0,126399.99,111954.305
149,150000,77021.33763178205,65000.0,101735.0,140364.02
150,374000,565571.8474428763,400000.0,406550.7633333334,408874.84
151,725000,665375.162751626,595000.0,609110.0,529635.44
152,660000,811806.7484573842,611000.0,673379.98,694555.75
153,450000,568055.7714334509,450000.0,392059.99,399682.16
154,122000,81176.44386120047,225000.0,151806.66666666666,139906.4
155,1200000,1155402.2687497821,700000.0,1003280.0,999696.3
156,1925000,2377095.0083822757,1600000.0,1567300.0,1.6310478e+06
157,650000,599622.9948589918,605000.0,591167.619047619,608919.3
158,1325000,1050347.648773887,1625000.0,1472620.0,1.2494556e+06
159,210000,255498.39789649413,252000.0,222199.74,224236.8
160,600000,384906.6953815113,465000.0,486799.87,501682.53
161,100000,-157557.48914205632,85000.0,114416.40857142858,97812.88
162,560000,705103.9666097985,555000.0,569650.0,622597.56
163,1050000,818466.7544810728,950000.0,941207.052857143,896464.8
164,625000,827179.0076972718,630000.0,682325.0,750938.8
165,285000,329095.36846266646,290000.0,312049.99,300222.4
166,370000,460488.2562426828,225000.0,319190.0,258434.8
167,440000,520495.02759554825,510000.0,498862.84714285715,532196.7
168,550000,506353.80931519053,425000.0,534019.965,458847.44
169,235000,195321.8673596505,200000.0,214405.0,227410.38
170,2800000,1162472.9070448831,1300000.0,1893660.0,1.5438284e+06
171,840000,668122.4999984624,850000.0,809389.99,819305.2
172,110000,-22501.692758272053,210000.0,212570.0,200826.33
173,500000,640233.3885775894,500000.0,528383.3133333334,542257.44
174,240000,132231.72648815688,200000.0,201660.0,220717.83
175,400000,471513.67137533694,450000.0,469666.6566666666,457271.75
176,1300000,1033304.2024048315,1200000.0,1154500.0,1.2303959e+06
177,2900000,1728874.0011494965,3200000.0,3111100.0,3.0396645e+06
178,780000,744780.9767410327,515000.0,613284.2857142858,719098.4
179,1019999,920562.8353154506,750000.0,866548.1933333335,862394.1
180,125000,136203.8508341107,210000.0,195210.0,220146.84
181,3350000,4200788.709583257,3350000.0,3800150.0,3.5193758e+06
182,550000,494201.70039183716,470000.0,535803.3333333334,527755.44
183,425000,492828.3168707514,500000.0,473074.9775,487853.66
184,265000,354210.015622591,221000.0,230780.0,232172.78
185,254999,336381.73375756864,254999.0,263009.33,272988.06
186,720000,555624.7210035408,720000.0,699283.3333333335,635146.3
187,484999,570626.3602013704,484999.0,511859.41,548295.4
188,320000,356921.4393246909,350000.0,366421.65666666673,332048.12
189,130000,109960.13128974498,200000.0,166116.64666666667,166810.14
190,339000,455187.33711169794,270000.0,296400.0,376656.0
191,411000,498103.2036557759,371000.0,394083.2833333334,396504.34
192,110000,141321.61578494537,135000.0,182009.99,164265.97
193,1227000,983419.049116872,1227000.0,1215080.0,1.2429648e+06
194,975000,929493.6375682456,500000.0,716300.0,906447.8
195,185000,180691.410008292,200000.0,199050.0,192593.95
196,480000,488388.7922221311,500000.0,525670.0,560214.2
197,5150000,5149555.295970734,5150000.0,5150000.0,5.150506e+06
198,620000,458778.30432859453,620000.0,633165.0,629047.2
199,300000,429860.0594101985,290000.0,332083.32333333336,276174.56
200,450000,549551.5772343058,450000.0,474299.98,474171.25
201,345000,623966.6950038739,345000.0,325550.0,327282.12
202,350000,297469.40130881005,290000.0,254122.48,254169.36
203,4090000,2889193.929380582,3300000.0,2650850.0,3.9287568e+06
204,900000,639407.8166190552,610000.0,660440.536060606,664368.75
205,400000,330304.7899395479,400000.0,284465.0,308647.44
206,1025000,920967.7188294332,795000.0,857400.0,983858.5
207,160000,134630.08036158152,183333.33333333334,187164.7619047619,183192.17
208,500000,678036.0166887383,500000.0,605750.0,648856.44
209,2475000,3208297.8155354867,2475000.0,2475000.0,2.474031e+06
210,650000,560405.3553373053,675000.0,669718.5714285714,629971.2
211,200000,176102.01965392876,200000.0,200575.0,200589.48
212,600000,602964.3570763218,525000.0,557323.3233333332,506853.72
213,290000,438924.10516234295,360000.0,396580.0,469541.97
214,140000,20441.18818303256,114999.0,119199.28,115462.14
215,250000,-87831.74329935061,75527.0,99501.61,116589.86
216,148000,83421.26216418028,160000.0,150744.915,106840.734
217,258000,372345.79815289,220000.0,249179.99,246884.25
218,220000,244075.98365355836,220000.0,230200.0,235287.44
219,250000,269089.7209213177,210000.0,252064.94,272179.3
220,210000,509514.0274234862,450000.0,546799.99,569288.94
221,250000,383493.011808221,350000.0,295559.97,263233.5
222,300000,391258.17539432185,409999.0,340033.1133333333,307425.78
223,365000,589086.7288431482,350000.0,437449.91,453186.03
224,200000,279403.4102078113,148000.0,181819.99,202678.48
225,55000,-49430.85292770143,150000.0,119719.99,66090.72
226,799000,879765.6533758359,400000.0,678739.99,799658.9
227,1300000,3712047.6883377642,1300000.0,1224000.0,1.1275785e+06
228,790000,731460.3030711714,860000.0,885072.44,887477.9
