,Actual,LR_Predicted,RFR_Predicted
0,4330,4928.76,5730.445198558178
1,3008,3366.85,4111.770497578727
2,4537,4723.5,5058.787590819007
3,3257,3305.48,4170.1368923742075
4,2513,2569.73,3107.6483119575887
5,1840,1684.09,2026.1868179358971
6,5484,5379.78,5198.351903199937
7,1402,1556.58,1919.3483447286026
8,3850,4067.14,3603.560928352902
9,1877,1837.3,2456.826123893642
10,3093,2838.68,3644.2221340467377
11,12637,13700.445,13742.549115144337
12,5729,5785.24,6248.713421865372
13,2539,2727.29,2594.171028784783
14,1064,1111.37,1391.5254714922994
15,8752,8204.07,6793.5063122441825
16,911,802.75,718.7465869980524
17,570,735.75,427.41084679335745
18,1764,2118.91,2147.9897877756225
19,2674,2643.21,3029.6575687508166
20,3644,3999.83,4362.0646014852
21,1608,1673.71,2146.098197891297
22,984,949.55,935.0060167762103
23,4804,4899.12,5140.599848835616
24,3243,3041.4,3853.8920207521574
25,1577,1635.01,1566.8308410392747
26,637,681.71,272.7678434225918
27,16900,15560.19,14674.948329450353
28,5292,5122.25,5438.429500732094
29,5889,5678.59,6056.094019423199
30,2805,2471.65,2317.432219524222
31,995,876.08,1270.843575028974
32,9471,9316.48,8558.244159895734
33,798,884.68,898.4847772895919
34,1941,1922.77,1670.8617227068025
35,7160,6645.21,6586.482847562754
36,730,757.98,550.499681907092
37,11613,11328.07,10129.775203687139
38,748,668.58,231.87656569871342
39,5357,5411.97,5856.4854157876
40,3159,2832.36,3281.376811501017
41,2581,2826.79,3560.396082140001
42,2331,2423.7,2524.3840821863587
43,1828,3262.11,-632.4294145101476
44,901,914.98,1684.337689001357
45,1624,1174.39,2049.9297166130677
46,2319,2453.6676666666667,1956.2640247226745
47,499,499.24,883.6617193226107
48,615,717.81,401.984188601215
49,882,852.08,312.90721029136876
50,4978,5444.13,5454.828941136624
51,16235,15876.986666666666,14521.635594023735
52,632,759.35,540.6409155332517
53,2150,2232.7,2584.965017105863
54,558,538.0,-898.1000650894885
55,956,875.65,816.3088729177716
56,1233,1261.12,375.58067658490927
57,386,425.87,182.7050902523024
58,2596,2596.67,3052.233018378935
59,640,771.57,-358.8372265754515
60,2749,2629.09,3354.6999537663337
61,3189,2952.98,3492.473710992552
62,2362,2594.89,3505.3696860962887
63,720,687.63,275.62430302575467
64,4199,4029.56,3868.4286204327395
