,Actual,LR_Predicted,DTC_Predicted,RFC_Predicted,KNC_Predicted,SVC_Predict
0,1,1,1,1,1,1
1,1,2,1,1,2,2
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,2,2,2,2,2,2
5,2,2,2,2,2,2
6,2,2,2,2,2,2
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,1,1,1,1,1,1
10,0,0,0,0,0,0
11,2,2,2,2,2,2
12,0,0,0,0,0,0
13,2,2,2,2,2,2
14,1,1,1,1,1,1
15,0,0,0,0,0,0
16,1,1,1,1,1,1
17,0,0,0,0,0,0
18,1,1,1,1,1,1
19,1,2,2,2,1,2
20,2,2,2,2,2,2
21,1,1,1,1,1,1
22,0,0,0,0,0,0
23,2,2,2,2,2,2
24,1,1,1,1,1,1
25,2,2,2,2,2,2
26,1,1,1,1,1,1
27,1,1,1,1,1,1
28,1,1,1,1,1,1
29,2,2,2,2,2,2
