Actual,L_Predicted,DTR_Predicted,RFR_Predict,XGBR_Predict
73.0,67.53211713234617,73.0,72.173,72.061905
65.6,67.30900984272849,65.7,65.09499999999998,63.231674
69.6,69.20505290772903,74.6,73.41099999999997,73.72863
65.0,67.68319503479367,65.1,65.48500000000004,65.60462
78.0,73.44930066098544,78.0,77.048,76.43154
68.8,66.7358015640728,68.3,68.03000000000003,67.238106
55.3,56.92513701236936,54.9,55.55000000000001,55.581776
76.9,76.18499038814564,76.0,76.41100000000004,76.844955
59.7,66.35980601053058,59.4,60.07499999999996,59.13788
79.4,76.90916475145758,79.5,79.35000000000008,81.47524
72.6,73.73256136327629,72.5,72.936,72.00506
67.4,71.34337890860104,66.8,67.83000000000004,66.95383
62.0,58.58438410589388,61.4,61.81999999999997,60.18985
72.9,70.24054927049993,73.5,73.20199999999998,73.28279
73.8,70.42080065582984,73.6,72.21800000000003,72.772446
61.0,62.9711776809517,64.0,63.73100000000002,60.093563
72.0,67.88613639361553,71.0,71.57699999999997,72.40103
74.5,74.01618573708276,74.2,74.70199999999993,74.40313
69.3,68.38522759074316,59.9,67.73999999999997,66.15145
78.9,76.8415275550521,77.8,78.00199999999997,77.49655
69.1,61.88906430097519,69.3,69.22399999999999,69.69641
48.7,60.19860701650035,56.0,50.08699999999999,52.01682
64.4,64.10610415018257,64.5,63.37099999999999,61.40629
78.0,70.47605843343045,71.2,72.06599999999996,73.4883
73.9,73.02717179038258,74.2,74.08899999999998,74.521645
56.1,58.81988700481731,55.3,55.82300000000001,55.736927
63.1,66.68483132845073,61.8,64.112,64.40642
63.0,59.15434385175005,69.0,63.17999999999997,61.327843
46.4,40.348403131442886,47.1,47.445,44.91693
75.3,75.09097280681205,74.2,75.07699999999997,75.15076
74.1,74.5782179664982,74.0,74.21200000000002,74.18554
85.0,80.91951504178775,81.0,83.14599999999999,80.4202
58.0,60.82316395894671,53.2,56.849000000000025,57.49049
58.2,61.65408259526395,55.6,56.41800000000003,56.77685
74.2,74.04446681601813,74.1,74.18300000000002,73.79934
50.0,53.6584414739285,48.4,49.70300000000001,50.581696
68.0,68.74186114640023,67.6,68.98100000000005,67.927536
