,Actual,LR_Predicted,RFC_Predicted,XGB_Predict
4942,1,6,7,0
5035,0,6,6,0
1204,1,6,6,1
2360,0,6,6,0
3114,0,5,5,0
937,0,6,6,0
1596,0,6,6,0
403,0,7,7,0
6201,0,6,6,0
4484,0,5,6,1
1969,0,6,6,0
5092,1,6,5,1
5436,0,6,6,0
5502,0,5,5,0
6036,0,7,6,0
3040,0,6,6,0
4050,0,6,6,0
833,0,6,6,0
1917,1,5,5,1
635,0,5,5,0
5522,0,6,7,0
6074,0,5,5,0
4396,0,6,6,0
592,0,5,5,0
5465,0,5,5,1
281,1,5,5,0
415,0,5,5,0
3435,0,7,7,0
4928,0,4,5,0
2369,1,6,6,0
5549,0,6,6,0
4655,0,6,6,0
6369,0,6,7,0
1628,1,6,6,0
2551,0,6,6,0
5359,0,5,6,0
1724,0,5,5,1
5321,0,6,6,0
5070,0,6,6,0
3515,0,5,5,0
2853,0,5,5,0
97,0,6,6,0
6385,1,6,7,1
379,0,6,6,0
4716,1,5,5,1
2180,0,5,5,0
4256,1,5,6,0
3219,1,6,6,1
1823,0,6,5,0
3224,0,6,5,0
712,0,6,6,0
2580,1,5,5,1
5437,0,6,6,0
3044,0,6,5,0
3599,0,5,6,0
4856,0,6,6,0
4494,0,6,6,0
2035,0,6,6,0
3795,0,5,6,0
1385,0,7,8,0
2223,0,6,6,0
799,0,5,5,0
3924,0,6,6,0
1608,0,6,5,0
1683,0,5,5,0
5111,0,6,6,1
6219,0,6,6,0
1101,0,6,6,0
1001,1,5,5,1
751,0,6,6,0
4382,0,6,6,0
598,0,6,7,0
1394,0,6,6,0
867,0,7,7,0
3709,0,6,6,0
3979,0,5,5,0
3438,0,5,5,0
5306,0,5,5,1
3249,1,5,5,1
3159,0,5,5,0
1422,0,5,5,0
4381,0,6,5,0
5385,0,6,6,0
1497,0,5,7,0
1595,0,6,6,0
6448,0,5,5,0
3848,0,5,6,0
2701,0,5,5,1
3747,0,6,6,0
3361,1,6,6,0
2775,1,6,6,0
3317,0,5,5,0
2995,1,6,6,1
4249,0,6,5,0
5490,0,6,6,0
6345,0,6,5,0
3324,0,5,6,0
4060,0,6,5,0
4455,1,5,5,1
6280,0,6,7,0
2877,0,5,6,0
780,0,5,6,0
2809,0,6,6,0
2832,0,5,6,1
3757,0,5,6,0
3024,0,6,7,0
3155,0,5,5,0
6447,0,6,6,0
5134,0,6,6,0
4303,0,6,6,0
5871,0,6,6,0
3598,0,5,5,1
4289,0,6,6,0
2232,0,6,6,0
2863,0,5,5,0
4475,0,7,7,0
1609,0,6,6,0
3778,0,6,5,0
2643,1,7,7,0
4297,0,5,6,0
6076,0,6,6,0
5782,1,6,6,0
1678,0,6,8,0
298,0,5,5,0
890,0,6,6,0
2139,0,6,6,0
3235,0,5,5,0
1192,1,5,6,1
231,0,6,6,0
1691,1,5,5,1
1821,1,5,6,1
26,0,6,6,0
3802,0,5,5,0
4029,0,5,5,0
1839,0,5,6,0
5657,0,5,7,0
4976,0,5,5,0
4611,0,5,5,0
5128,1,6,6,1
5960,0,6,6,0
5707,0,6,7,0
5305,0,6,6,1
4436,0,6,6,0
2465,1,5,5,1
2750,0,6,7,0
4886,1,6,5,1
3455,0,6,7,0
4331,0,6,6,0
5513,1,5,5,1
3332,0,7,7,0
5801,0,6,6,1
3166,0,6,6,0
256,0,6,6,0
966,1,6,5,0
3187,0,5,6,0
3278,0,5,5,0
310,0,6,6,0
2677,0,5,6,0
