,Actual,L_Predicted,EN_Predicted,RFR_Predict,SVR_Predict
0,17199,16209.069771680242,19055.447772982898,17246.01,17095.42877527969
1,16925,20618.331999396134,18128.59378637575,14005.463333333333,21216.673724013
2,15250,15695.876883606292,16591.306229063604,12518.713333333335,14886.890135308371
3,28248,27414.948370442733,27429.50172887613,27004.23,29196.144508954203
4,22018,29735.815440864935,21491.788264437273,15328.75,24178.836482091592
5,6575,7057.844105295135,7094.532536402635,6187.54,6607.288227950985
6,8949,11378.068025124727,8861.132213007228,9469.685,10783.750994262553
7,6095,6888.6826144244715,6560.772016169047,6412.28,6775.561537070351
8,16500,14625.355434025285,18128.25078468823,13763.475833333332,14706.128176474305
9,7198,7718.137685069269,6368.341404237671,7466.23,7797.14587320188
10,8449,12155.213455915284,15009.261938584961,10302.02,11033.661069302978
11,7895,9853.727256395472,9770.072730218364,8751.84,8929.927324773127
12,37028,35022.69218207011,29767.039652738546,33069.3,34370.19471967564
13,11850,12484.15936035114,14533.181008075611,13682.055833333336,15085.694979992648
14,7975,9058.864162329399,10628.050536218727,8351.295,8973.974579598416
15,18280,14885.600235654842,15743.260666401467,15151.48,12667.382799249142
16,5572,6449.21778412202,5840.906498614222,5850.74,5983.305690162882
17,8358,7457.848579071623,6612.683995753456,8038.8,7816.436792259759
18,11900,12658.122704958138,15309.410498790148,16080.56,14286.947613363163
19,22470,20443.580668003007,19882.746668249565,19536.88,18632.165774864425
