iter	Passed	Remaining
0	3	3690
1	6	3436
2	10	3376
3	12	3151
4	14	2974
5	17	2867
6	19	2743
7	21	2677
8	23	2633
9	26	2580
10	28	2582
11	31	2559
12	33	2562
13	36	2545
14	38	2512
15	40	2500
16	43	2487
17	45	2457
18	47	2430
19	48	2398
20	51	2398
21	54	2401
22	55	2378
23	58	2398
24	60	2372
25	62	2351
26	64	2337
27	66	2324
28	68	2301
29	70	2295
30	73	2285
31	76	2312
32	78	2310
33	80	2299
34	83	2294
35	85	2279
36	86	2262
37	89	2275
38	90	2237
39	92	2223
40	95	2242
41	97	2231
42	98	2201
43	100	2192
44	103	2186
45	104	2174
46	107	2178
47	109	2177
48	111	2169
49	114	2167
50	116	2160
51	118	2164
52	120	2154
53	122	2145
54	125	2156
55	127	2155
56	129	2147
57	132	2145
58	133	2137
59	135	2128
60	138	2124
61	140	2119
62	141	2111
63	144	2107
64	145	2098
65	147	2090
66	150	2093
67	152	2086
68	154	2078
69	156	2074
70	158	2069
71	160	2062
72	161	2056
73	164	2054
74	166	2048
75	168	2046
76	170	2044
77	172	2039
78	174	2033
79	176	2027
80	178	2022
81	180	2018
82	182	2011
83	183	2004
84	187	2013
85	191	2034
86	194	2039
87	196	2033
88	199	2037
89	201	2035
90	203	2037
91	206	2033
92	208	2029
93	210	2031
94	213	2029
95	214	2024
96	217	2020
97	219	2016
98	221	2019
99	223	2015
100	225	2010
101	228	2011
102	231	2012
103	234	2016
104	236	2019
105	239	2019
106	241	2015
107	244	2016
108	246	2017
109	249	2016
110	252	2020
111	254	2015
112	256	2013
113	259	2013
114	261	2008
115	262	2004
116	265	2003
117	267	2000
118	269	1997
119	272	1998
120	275	1998
121	277	2000
122	279	1996
123	282	1994
124	285	2000
125	288	2001
126	291	2001
127	293	1999
128	295	1997
129	297	1993
130	299	1989
131	302	1986
132	304	1983
133	306	1978
134	308	1975
135	310	1972
136	312	1969
137	314	1964
138	316	1960
139	318	1957
140	320	1952
141	322	1948
142	325	1950
143	327	1945
144	329	1940
145	331	1936
146	333	1935
147	335	1931
148	338	1931
149	340	1928
150	342	1924
151	344	1921
152	346	1916
153	348	1912
154	350	1910
155	352	1905
156	354	1901
157	358	1908
158	360	1905
159	362	1904
160	364	1900
161	366	1896
162	370	1900
163	372	1898
164	374	1896
165	376	1891
166	378	1888
167	381	1887
168	383	1884
169	385	1882
170	387	1879
171	389	1875
172	391	1873
173	394	1870
174	396	1867
175	397	1862
176	399	1859
177	402	1856
178	403	1852
179	405	1848
180	407	1844
181	409	1841
182	411	1838
183	413	1834
184	415	1829
185	417	1827
186	419	1823
187	421	1819
188	423	1816
189	425	1813
190	427	1809
191	429	1809
192	432	1808
193	435	1809
194	437	1806
195	439	1803
196	441	1800
197	443	1796
198	445	1793
199	447	1791
200	450	1790
201	453	1790
202	455	1786
203	456	1783
204	459	1781
205	461	1779
206	463	1776
207	466	1775
208	468	1772
209	470	1768
210	472	1765
211	473	1761
212	475	1757
213	478	1755
214	480	1752
215	481	1749
216	484	1746
217	485	1742
218	487	1739
219	489	1737
220	491	1733
221	493	1730
222	495	1727
223	497	1723
224	499	1720
225	501	1716
226	503	1713
227	505	1710
228	507	1707
229	509	1704
230	511	1703
231	515	1704
232	517	1704
233	520	1704
234	522	1702
235	524	1699
236	526	1696
237	528	1690
238	529	1687
239	531	1683
240	533	1681
241	535	1677
242	537	1674
243	539	1671
244	541	1668
245	543	1665
246	545	1661
247	546	1658
248	548	1655
249	550	1651
